id,name,min_size,max_precision,Pair
ALGO,Algorand,1,0.000001,ALGO-USD
DASH,Dash,1,0.00000001,DASH-USD
OXT,Orchid,1,0.00000001,OXT-USD
ATOM,Cosmos,1,0.000001,ATOM-USD
KNC,Kyber Network,1,0.00000001,KNC-USD
XRP,XRP,1,0.000001,XRP-USD
REP,Augur,0.000001,0.00000001,REP-USD
MKR,Maker,0.001,0.0001,MKR-USD
CGLD,Celo,0.1,0.01,CGLD-USD
COMP,Compound,0.01,0.001,COMP-USD
NMR,Numeraire,0.01,0.001,NMR-USD
OMG,OMG Network,1,0.00000001,OMG-USD
BAND,Band Protocol,0.1,0.01,BAND-USD
UMA,UMA,0.01,0.001,UMA-USD
XLM,Stellar,1,0.0000001,XLM-USD
EOS,EOS,0.1,0.0001,EOS-USD
ZRX,0x,0.00001,0.00000001,ZRX-USD
BAT,Basic Attention Token,1,0.00000001,BAT-USD
LOOM,Loom Network,1,0.00000001,LOOM-USD
UNI,Uniswap,1,0.000001,UNI-USD
YFI,yearn.finance,0.00001,0.000001,YFI-USD
LRC,Loopring,1,1,LRC-USD
CVC,Civic,1,0.00000001,CVC-USD
DNT,district0x,1,0.00000001,DNT-USD
MANA,Decentraland,1,0.00000001,MANA-USD
GNT,Golem,1,0.00000001,GNT-USD
REN,Ren,1,0.1,REN-USD
LINK,Chainlink,1,0.00000001,LINK-USD
BTC,Bitcoin,0.00000001,0.00000001,BTC-USD
BAL,Balancer,0.1,0.01,BAL-USD
LTC,Litecoin,0.00000001,0.00000001,LTC-USD
ETH,Ether,0.00000001,0.00000001,ETH-USD
BCH,Bitcoin Cash,0.00000001,0.00000001,BCH-USD
ETC,Ether Classic,0.00000001,0.00000001,ETC-USD
USDC,USD Coin,0.000001,0.000001,USDC-USD
ZEC,Zcash,0.00000001,0.00000001,ZEC-USD
XTZ,Tezos,0.000001,0.000001,XTZ-USD
DAI,Dai,0.00001,0.00001,DAI-USD
WBTC,Wrapped Bitcoin,0.0001,0.00000001,WBTC-USD
NU,NuCypher,10,0.000001,NU-USD
FIL,Filecoin,0.01,0.001,FIL-USD
AAVE,Aave,0.01,0.001,AAVE-USD
SNX,Synthetix,0.1,0.001,SNX-USD
BNT,Bancor,1,0.000001,BNT-USD
GRT,The Graph,10,0.01,GRT-USD
